id,category,severity,status,title,evidence,impact,recommendation,owner,target_date
A-SEC-001,Security,Critical,Open,Role checks missing in store mutations,"src/context/DataContext.tsx:1123; src/context/DataContext.tsx:732; src/lib/businessRules.ts:473",Unauthorized destructive actions can bypass UI constraints,Enforce RBAC guards in all DataContext mutators and reject unauthorized roles,Backend+Frontend,2026-03-01
A-SEC-002,Security,Critical,Open,Sensitive temporary password exposed in logs,"src/services/authService.ts:147",Credential leakage risk in shared environments,Remove secret logs and gate demo auth behind environment flags,Backend,2026-02-24
A-DATA-001,Data & Integrity,Major,Open,Mixed legacy and new workflow statuses,"src/types/index.ts:259; src/lib/businessRules.ts:129; src/lib/businessRules.ts:159",Ambiguous state transitions and inconsistent UX labels,Define canonical status set and migration mapping,Product+Frontend,2026-03-05
A-ARCH-001,Architecture & Code,Major,Open,Monolithic DataContext causes broad rerenders,"src/context/DataContext.tsx:1359",Higher coupling and performance regressions under growth,Split context by domain and add selectors,Frontend,2026-03-10
A-PERF-001,Performance,Major,Open,Heavy localStorage persistence on each slice update,"src/context/DataContext.tsx:416; src/context/DataContext.tsx:450",Main-thread pressure and potential jank on frequent updates,Throttle/batch persistence or move to indexed storage worker,Frontend,2026-03-10
A-UX-001,UX / Ergonomie,Major,Closed,Touch target failures across mobile and tablet (resolved),"docs/md3-multidevice-audit-results-2026-02-20.md; src/features/auth/pages/LoginPage.tsx",Tap precision issues and interaction errors,Normalized interactive hit areas and fixed QA auth routing to produce valid device audits,Frontend,2026-02-20
A-UI-001,UI / Design System,Major,Open,Visual regression baseline fully diverged,"docs/md3-visual-regression-results-2026-02-20.md",Regression risk hidden by unstable baselines,Run visual triage and update baseline only for approved changes,Frontend+QA,2026-02-27
A-PERF-002,Performance,Major,Open,Bundle chunk exceeds warning limit,"docs/audit/audit-evidence-2026-02-20/auto/build.log",Slower initial load especially on low bandwidth,Code-split PDF/XLSX flows and lazy load heavy vendors,Frontend,2026-03-07
A-UI-002,UI / Design System,Moderate,Open,Mojibake in budget modal labels,"src/features/finance/components/AddBudgetModal.tsx:51; src/features/finance/components/AddBudgetModal.tsx:59",Degraded readability and professional quality,Fix UTF-8 strings and run text consistency pass,Frontend,2026-02-23
A-UX-002,UX / Ergonomie,Moderate,Open,Management label inconsistency (Gestion vs Catalogue),"src/hooks/useAppNavigation.ts:19; src/components/layout/AppLayout.tsx:117",Navigation language inconsistency confuses users,Unify naming across header/sidebar/routes,Frontend+Product,2026-02-23
A-SEC-003,Security,Info,Closed,Admin deleting SuperAdmin blocked by business rule,"src/lib/businessRules.ts:567; src/context/DataContext.tsx:964",Control validated in current codebase,Keep regression test for this guard,Frontend+QA,2026-02-21
A-ARCH-002,Architecture & Code,Critical,Open,Routing stack duplicated between custom hash router and view switch,"src/hooks/useRouter.ts:5; src/hooks/useAppNavigation.ts:42; src/components/layout/AppLayout.tsx:140; src/routes/index.ts:1",High maintenance cost and route drift risk,Move to one canonical route config and deprecate duplicated mapping layers,Frontend,2026-03-07
A-ARCH-003,Architecture & Code,Major,Open,Feature pages are oversized and mix orchestration with rendering,"src/features/finance/pages/FinanceManagementPage.tsx:133; src/features/management/pages/ManagementPage.tsx:52; src/features/users/pages/UserDetailsPage.tsx:36; src/features/inventory/pages/AssignmentWizardPage.tsx:28",Lower readability and higher regression risk on each change,Split pages into container hooks plus presentational sections,Frontend,2026-03-14
A-ARCH-004,Architecture & Code,Major,Open,Business workflows are implemented in UI components,"src/features/finance/pages/FinanceManagementPage.tsx:273; src/features/finance/components/AddExpenseModal.tsx:146; src/features/finance/components/AddExpenseModal.tsx:235",Rule duplication and inconsistent business behavior across screens,Extract domain services/hooks for import validation dedupe and mutation policies,Frontend,2026-03-14
A-ARCH-005,Architecture & Code,Moderate,Open,Access-control hook has non-memoized policies and unresolved strictness branch,"src/hooks/useAccessControl.ts:37; src/hooks/useAccessControl.ts:116; src/features/inventory/pages/InventoryPage.tsx:42",Unstable dependencies and policy ambiguity under edge cases,Memoize policy functions and formalize strict deny-by-default behavior,Frontend,2026-03-10
A-ARCH-006,Architecture & Code,Moderate,Open,TypeScript compiler guardrails are too permissive for project scale,"tsconfig.json:19; tsconfig.json:27",Reduced static safety and slower defect detection,Plan incremental strict mode adoption with staged folder rollout,Frontend,2026-03-21
A-DOC-001,Architecture & Code,Moderate,Open,Documentation drift between declared and implemented routing architecture,"README.md:5; AGENTS.md:14; src/hooks/useRouter.ts:5",Onboarding confusion and wrong implementation assumptions,Align README and architecture docs with actual runtime architecture,Frontend+QA,2026-03-03
A-ARCH-007,Architecture & Code,Info,Closed,Residual lint artifact was tracked in repository,"lint_report.txt; .gitignore:4",Audit noise and false signal on lint state,Remove tracked lint report and ignore future generated lint report files,Frontend,2026-02-21
